indentation	style_name	style_description
;;	Countrypolitan 	Emphasizes Pop-oriented orchestration and songwriting while reducing the role of Country instrumentation and rhythms; often featuring lush string arrangements and group backing vocals.
;;	Urban Cowboy 	Melds Country and 1970s L.A. soft Pop, sometimes leaning towards Disco.
;	Honky Tonk 	Upbeat style that retains much of the common instrumentation of Traditional Country, as well as featuring prominent guitars (especially the steel guitar), strong backbeats and lyrics commonly about the working-class life.
;;	Bakersfield Sound 	Heavily based on electric instrumentation and a defined backbeat.
;;	Truck Driving Country 	Concerns the lifestyle of professional truck drivers, often drawing from Country Rock and Bakersfield Sound musically.
;	Nashville Sound 	Production style characterized by smooth vocals over a relaxed ensemble of guitars and rhythm section, and variously incorporating elements from other styles of Country and Pop.
;;	Countrypolitan 	Emphasizes Pop-oriented orchestration and songwriting while reducing the role of Country instrumentation and rhythms; often featuring lush string arrangements and group backing vocals.
;	Progressive Country 	Blend of traditionalist Country styles with elements of Rock, Contemporary Folk, and other countercultural genres; characterized by realistic, self-reflective lyrics and non-traditional songwriting and production elements.
;;	Outlaw Country 	Rock-influenced reaction to mainstream Country Pop trends, featuring rebellious personas, darker lyrics, and Western-inspired outlaw imagery.
;	Traditional Country 	Closely aligned with American Folk Music and Blues roots, from country's inception in Appalachia and the American South until the popularity of Honky Tonk and Country Pop in the 1950s.
;;	Close Harmony 	Traditional two-part harmony singing performed mostly by brothers.
;;	Country Gospel 	Incorporates the harmonies and Christian themes of Gospel.
;;;	Bluegrass Gospel 	Incorporates the religious topics and harmony vocals found in Country Gospel.
;;	Country Yodeling 	Vocal technique of Yodeling, brought to the United States by German settlers, sung over the instrumentation of Traditional Country.
;;	Traditional Bluegrass 	Driving tempos, acoustic stringed instrumentation, and high vocal harmonies, adhering to the stylistic roots of the Bluegrass genre.
;;;	Bluegrass Gospel 	Incorporates the religious topics and harmony vocals found in Country Gospel.
;	Western 	Reflects and portrays the lifestyles of cowboys and other settlers of the Western United States through both Traditional Folk Music and popular song.
;	Western Swing 	Blend of Traditional Country string instrumentation with the driving rhythms of Jazz and regional dance traditions, often prominently featuring fiddle and steel guitar.
	Dance 	Rooted in Disco and developed largely within Electronic Dance Music; emphasizes rhythm and is generally produced for play by DJs at clubs, parties, or festivals.
;	Alternative Dance 	Incorporates rhythms and synthesizers from Electronic Dance Music within the context of Alternative Rock and related styles; predominantly popular in the 1990s.
;;	Grebo 	Short-lived English subculture and associated music; raw, futuristic, sample-heavy form of Alternative Dance with a dirty guitar sound.
;;	New Rave 	High energy mid-2000s style combining the tight and punchy grooves of Dance-Punk Revival with synths and four-on-the-floor rhythms from genres like Electroclash and Electro House.
;	Dance-Pop 	Simple, yet catchy melodies and throbbing beats inspired initially by Disco and later various House styles.
;;	Bubblegum Dance 	Playful, childlike style with a Bubblegum-like atmosphere that often incorporates high-pitched, light-hearted, and usually female-fronted vocals.
;;	Disco polo 	Polish Dance-Pop, originally established from contemporary wedding / feast songs and Italo-Disco.
;;	Freestyle 	Electro-influenced; developed in Latino communities in New York and Miami in the 1980s, especially dominated by Latin Freestyle and its Latin influences.
;;;	Latin Freestyle 	Displays a heavy influence of Hispanic American Music alongside the Disco, Hip Hop, and Electro influences of Freestyle.
;;	Funk melody 	Light and melodic take on Funk brasileiro, developed alongside Funk carioca.
;;	Romanian Popcorn 	Emerged in the second half of the 2000s in Romania, often featuring brass melodies and "staccato" pluck grooves.
;;	Tecnorumba 	Blend of the themes and singing style of Rumba flamenca with the most commercial forms of House, Techno, and Makina.
;;	Township Bubblegum 	Synth-heavy Dance-Pop style popular in the South African townships in the 1980s and early 1990s.
;	Disco 	Combines the lush orchestration of Philly Soul and bass grooves of Funk with a four-on-the-floor rhythm.
;;	Boogie 	Continuation of the Disco sound with increased influence from Funk, Synth Funk, and R&B and a slower tempo, often featuring drum machines and filter modulated synthesizers.
;;	Electro-Disco 	Disco instrumentation is largely - if not entirely - replaced by synthesizers and augmented with futuristic elements such as the vocoder.
;;;	Hi-NRG 	Emerged in the late 1970s and quickly became the most popular form of Electronic Dance Music in the LGBT club scenes of San Francisco and New York, characterized by its uptempo, high-energy sound.
;;;	Italo-Disco 	Produced primarily in Italy and is characterized by the use of synthesizers, drum machines, and sometimes vocoders to create a mechanical, Electronic version of Disco with futuristic atmosphere.
;;;;	Spacesynth 	Highly melodic, often instrumental futuristic strain, formed under the heavy influence of Space Disco, Progressive Electronic and, later, early Eurobeat.
;;;;;	Doskpop 	Grew out of the Amiga demoscene in the late 1980s with the imitation of Spacesynth in the context of the restrictions and aesthetics of Demostyle.
;;;	Red Disco 	Continuum of various eclectic forms, derived mainly from late Euro-Disco, but also Italo-Disco, Hi-NRG and Eurobeat, and developed in the Soviet Union in the mid-to-late 1980s.
;;;	Space Disco 	Emerged in Europe in the mid-to-late 1970s, characterized by layers of oscillating synth, space-oriented sound effects, and a futuristic sound inspired by contemporary sci-fi media.
;;	Euro-Disco 	European style that moved away from the genre's Rhythm & Blues and Soul roots, speeding up the tempo and adding Electronic instruments like synthesizers and drum machines as a backing for more melodic Europop-influenced vocals.
;;	Latin Disco 	Disco that incorporates elements from Hispanic American Music styles.
;;	Mutant Disco 	Danceable basslines, syncopated grooves, and angular guitar riffs, characterized by a spirit of experimentation and integration of disparate sounds.
;;	Nu-Disco 	21st-century trend mixing modern, polished Electronic production with the aesthetics, structures, and lively, organic beats of 1970s and 1980s Disco.
;	Electronic Dance Music 	Broad category for subgenres mainly derived from Disco, featuring Electronic sounds, synthesizers, drum machines and varying BPM ranges.
;;	Artcore 	Combines an eclectic mix of Electronic Dance Music genres with the instrumentation and melodic stylings of genres like Cinematic Classical for a maximalist and emotional sound.
;;	Balani Show 	Emerged in the late 1990s in Mali; peaks at around 170BPM and prominently features looping, cut-up balafon samples.
;;	Balearic Beat 	Variety of relaxed, laid-back music that originates from the Balearic Islands off the coast of Spain, and particularly the club scene in Ibiza.
;;	Bérite Club 	Originated in the underground club scene of Paris in the mid-to-late 2010s, drawing on a variety of international club styles for its combination of prominent and erratic drum programming with freezing and looping chopped-up samples.
;;	Breakbeat 	Umbrella of affiliated Electronic Dance Music styles broadly featuring prominent syncopated drum patterns (called breakbeats) that emerged from Breakbeat Hardcore's initial influence, not including styles directly related to Drum and Bass and Jungle.
;;;	Acid Breaks 	Incorporates prominent "squelching", resonant low pass filter sounds typical to Acid House, and often other "trippy" effects into intense, syncopated, broken rhythms in the tempos of 110-150 BPM.
;;;	Baltimore Club 	Drew on the "booty bass" syncopation of Miami Bass, combined with Breakbeat rhythms around 130 BPM and chopped up vocal samples as found in Ghetto House.
;;;	Big Beat 	Popular in Britain during the late 1990s, driven by edited breakbeats and prominent basslines.
